file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\www\pessoal\lab-medicao-experiment-software\lab-02\lab-02\lab-02\repositorios\graphviz-java\graphviz-java\src\main\java\guru\nidi\graphviz\attribute\Rank.java,guru.nidi.graphviz.attribute.Rank,sepEqually/1[double],false,32,1,3,2,1,1,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,0,false
C:\www\pessoal\lab-medicao-experiment-software\lab-02\lab-02\lab-02\repositorios\graphviz-java\graphviz-java\src\main\java\guru\nidi\graphviz\attribute\Rank.java,guru.nidi.graphviz.attribute.Rank,newRank/0,false,36,1,2,1,1,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,0,false
C:\www\pessoal\lab-medicao-experiment-software\lab-02\lab-02\lab-02\repositorios\graphviz-java\graphviz-java\src\main\java\guru\nidi\graphviz\attribute\Rank.java,guru.nidi.graphviz.attribute.Rank,dir/1[guru.nidi.graphviz.attribute.Rank.RankDir],false,24,2,9,8,1,1,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,0,false
C:\www\pessoal\lab-medicao-experiment-software\lab-02\lab-02\lab-02\repositorios\graphviz-java\graphviz-java\src\main\java\guru\nidi\graphviz\attribute\Rank.java,guru.nidi.graphviz.attribute.Rank,inSubgraph/1[guru.nidi.graphviz.attribute.Rank.RankType],false,40,4,4,3,1,1,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9,0,false
C:\www\pessoal\lab-medicao-experiment-software\lab-02\lab-02\lab-02\repositorios\graphviz-java\graphviz-java\src\main\java\guru\nidi\graphviz\attribute\Rank.java,guru.nidi.graphviz.attribute.Rank,Rank/0,true,21,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,false
C:\www\pessoal\lab-medicao-experiment-software\lab-02\lab-02\lab-02\repositorios\graphviz-java\graphviz-java\src\main\java\guru\nidi\graphviz\attribute\Rank.java,guru.nidi.graphviz.attribute.Rank,sep/1[double],false,28,1,4,3,1,1,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,0,false
C:\www\pessoal\lab-medicao-experiment-software\lab-02\lab-02\lab-02\repositorios\graphviz-java\graphviz-java\src\main\java\guru\nidi\graphviz\attribute\SingleAttributes.java,guru.nidi.graphviz.attribute.SingleAttributes,key/1[java.lang.String],false,30,2,1,0,1,1,1,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,false
C:\www\pessoal\lab-medicao-experiment-software\lab-02\lab-02\lab-02\repositorios\graphviz-java\graphviz-java\src\main\java\guru\nidi\graphviz\attribute\SingleAttributes.java,guru.nidi.graphviz.attribute.SingleAttributes,"newInstance/2[java.lang.String,T]",false,38,2,0,0,0,2,6,12,1,3,2,6,0,0,0,0,1,0,0,1,3,0,1,0,0,0,20,2,0,false
C:\www\pessoal\lab-medicao-experiment-software\lab-02\lab-02\lab-02\repositorios\graphviz-java\graphviz-java\src\main\java\guru\nidi\graphviz\attribute\SingleAttributes.java,guru.nidi.graphviz.attribute.SingleAttributes,"SingleAttributes/2[java.lang.String,T]",true,25,1,0,0,0,1,0,4,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4,4,0,false
C:\www\pessoal\lab-medicao-experiment-software\lab-02\lab-02\lab-02\repositorios\graphviz-java\graphviz-java\src\main\java\guru\nidi\graphviz\attribute\SingleAttributes.java,guru.nidi.graphviz.attribute.SingleAttributes,value/1[T],false,34,3,1,0,1,1,1,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,false
